UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
kamii,@kami_whey,2022-06-15T22:28:20.000Z,"kamii
@kami_whey
·
Jun 15, 2022","i will not give context, i just find this image so hot",,1,,3,['https://pbs.twimg.com/media/FVU7ZmGWAAIqepU?format=jpg&name=small'],https://twitter.com/kami_whey/status/1537200359919198208
tia feri.,@feristhii,2022-06-15T21:29:34.000Z,"tia feri.
@feristhii
·
Jun 15, 2022",Apenas um treino usando uma gostosa,,3,58,869,['https://pbs.twimg.com/media/FVUuIaeWUAA13vp?format=jpg&name=small'],https://twitter.com/feristhii/status/1537185573580210177
Monty Riches,@MontyRiches,2022-06-15T22:34:27.000Z,"Monty Riches
@MontyRiches
·
Jun 15, 2022","MONTY'S APE WATCH  Mega ""UNDER 10 $SOL""  Edition!!  Ok 
@ShreddedApes
 fam, I've never before seen so many awesome deals going all at once on ME so had to drop an impromptu Ape Watch update! These are some of my high ranking picks...Which ape is your fave??  #WHEY #SAGC",🚨 🦧 🚨 💪 🦍,4,3,19,['https://pbs.twimg.com/media/FVU8-5cXsAEsOqc?format=jpg&name=900x900'],https://twitter.com/MontyRiches/status/1537201901556596738
Walk Like an Egyptian Bot,@egyptian_bot,2022-06-15T22:10:49.000Z,"Walk Like an Egyptian Bot
@egyptian_bot
·
Jun 15, 2022","Foreign types with the hookah pipes say ay oh whey oh, ay oh whey oh",,,,,[],https://twitter.com/egyptian_bot/status/1537195951428886528
thomas the gain,@thomasphall,2022-06-15T20:49:42.000Z,"thomas the gain
@thomasphall
·
Jun 15, 2022",I use to have my autocorrect change “way” to “whey” ,🚂 😂,2,,,[],https://twitter.com/thomasphall/status/1537175540465123329
June Bug,@Jiddy7,2022-06-15T22:15:33.000Z,"June Bug
@Jiddy7
·
Jun 15, 2022",smelling my brother's bottle of whey protein powder so I don't have to drink it,,,,,[],https://twitter.com/Jiddy7/status/1537197145387937793
engual o Bruno,@offBruno0,2022-06-15T23:05:58.000Z,"engual o Bruno
@offBruno0
·
Jun 15, 2022",Tinha mais gente no treino que no jogo.,,4,3,70,[],https://twitter.com/offBruno0/status/1537209831693729792
Coach Karlos,@angelino_xfit,2022-06-15T21:55:01.000Z,"Coach Karlos
@angelino_xfit
·
Jun 15, 2022",Senior Coach Kevin’s Healthy Snackin’ #acf #angelinocrossfitfamily #healthyfood #coachkevinrocks #sweet #goodnutrition #fitness @ Angelino CrossFit,,,,,['https://pbs.twimg.com/card_img/1669151943674179585/Hz0fqgLE?format=jpg&name=240x240'],https://twitter.com/angelino_xfit/status/1537191974482194432
mage,@magestosoh,2022-06-15T20:40:13.000Z,"mage
@magestosoh
·
Jun 15, 2022",a gotinha era whey,,,,1,"['https://pbs.twimg.com/profile_images/1642966741138415647/fHdgQUGl_mini.jpg', 'https://pbs.twimg.com/media/FVUPRnsXoAQlcGy?format=jpg&name=small']",https://twitter.com/magestosoh/status/1537173153851523072
brena,@brenaena,2022-06-15T21:38:12.000Z,"brena
@brenaena
·
Jun 15, 2022",saudade do crossfit dms,,,,1,[],https://twitter.com/brenaena/status/1537187743281065984
𝔸𝕦𝕘𝕦𝕩𝕥𝕠,@madguto,2022-06-15T21:49:49.000Z,"𝔸𝕦𝕘𝕦𝕩𝕥𝕠
@madguto
·
Jun 15, 2022",Hoje eu não acabei o treino foi ele quem acabou comigo ,🥵,1,,27,['https://pbs.twimg.com/media/FVUywyAWQAYNTIo?format=jpg&name=small'],https://twitter.com/madguto/status/1537190668409380867
Kay,@kmarie_iam,2022-06-15T22:14:38.000Z,"Kay
@kmarie_iam
·
Jun 15, 2022","Crossfit 103 
Kayla 0",,,,,[],https://twitter.com/kmarie_iam/status/1537196912251748353
Bruno Rezende News | Fã site,@bruninho1news,2022-06-15T23:38:45.000Z,"Bruno Rezende News | Fã site
@bruninho1news
·
Jun 15, 2022"," | Que fofura! 

Jaqueline e Murilo levaram seu filho Arthur para assistir o treino da seleção masculina, que aconteceu hoje no Sesi da Vila Leopoldina, em São Paulo.  

Jaqueline via Instagram Stories.",📲 💛,,5,28,['https://pbs.twimg.com/media/FVVLsN5WQAEvHuo?format=jpg&name=small'],https://twitter.com/bruninho1news/status/1537218083437195264
,@machadoliveira1,2022-06-15T21:09:03.000Z,"@machadoliveira1
·
Jun 15, 2022",É impressionante como meus suplementos estão durando mais de um mês depois que comecei a esconder aqui em casa,🪓,3,1,20,[],https://twitter.com/machadoliveira1/status/1537180409405968385
Khitty,@TheRealKhitty,2022-06-15T21:27:23.000Z,"Khitty
@TheRealKhitty
·
Jun 15, 2022",My CrossFit coach started following me on Instagram. I'm scared ,😭 😭 😭,,,3,[],https://twitter.com/TheRealKhitty/status/1537185021580427264
PersonalFitness3,@personalfitnes3,2022-06-15T23:52:17.000Z,"PersonalFitness3
@personalfitnes3
·
Jun 15, 2022","#videos2watchNOW
100% Whey Protein Supplement Review | First Impressions | LABRADA Nutrition 

Watch the video:
https://youtu.be/MRckgLT5Ytw #supplements
LIKE  SHARE  COMMENT",▪ ▪,,,,['https://pbs.twimg.com/media/FVVOy9iWQAAZ1LM?format=jpg&name=small'],https://twitter.com/personalfitnes3/status/1537221486867783681
asklistfeedy,@asklistfeedy,2022-06-15T23:50:29.000Z,"asklistfeedy
@asklistfeedy
·
Jun 15, 2022","Oil magnates in Nigeria are attending Kryptonite clambakes, gatherings that combine menu readings with Crossfit, run by Snoop Dog.",,,,,[],https://twitter.com/asklistfeedy/status/1537221035002503169
,@MiiFala,2022-06-15T22:55:35.000Z,"@MiiFala
·
Jun 15, 2022",pegar esse crossfit agora ,✨,,,,[],https://twitter.com/MiiFala/status/1537207219233738757
RayRay,@rgriveera_,2022-06-15T21:14:37.000Z,"RayRay
@rgriveera_
·
Jun 15, 2022",Skip CrossFit hoy… pero comemos bien!,,,,,[],https://twitter.com/rgriveera_/status/1537181807665643520
Coach Rah,@RahHerron,2022-06-15T23:36:44.000Z,"Coach Rah
@RahHerron
·
Jun 15, 2022",CrossFit was OD today. Sweated all those resort/birthday drinks out,,,,,[],https://twitter.com/RahHerron/status/1537217572567138304
arroiz,@_MatheusAmerico,2022-06-15T22:56:08.000Z,"arroiz
@_MatheusAmerico
·
Jun 15, 2022",whey de coco brabo dms,,1,,5,[],https://twitter.com/_MatheusAmerico/status/1537207355246510081
ALEX,@BOE_Malli,2022-06-15T21:26:23.000Z,"ALEX
@BOE_Malli
·
Jun 15, 2022",Doing muscleups on the bard at crossfit are hard as shit lol .. them bars will turn a boy into a man lol shits rough as fucc,,,,,[],https://twitter.com/BOE_Malli/status/1537184771817803783
Gilted Goose,@GiltedGoose,2022-06-15T21:32:54.000Z,"Gilted Goose
@GiltedGoose
·
Jun 15, 2022","Why, yes. They do have a pocket!

https://giltedgoose.com/shop/yoga-pants

#Yoga #YogaPants #Namaste #Athleisure #Crossfit #Run #Running #Fitness",,,,1,['https://pbs.twimg.com/media/FVUu5K5WYAARmTx?format=jpg&name=small'],https://twitter.com/GiltedGoose/status/1537186411920691205
Uaiti,@_Uaiti,2022-06-15T23:48:27.000Z,"Uaiti
@_Uaiti
·
Jun 15, 2022","Seguinte família, último Jabá de hoje e tô indo pro treino. Mas faltam só 2 PESSOAS pra chegarmos em 400mil, pprt se tu não é inscrito confere o último vídeo e larga a inscrição 

https://youtu.be/VUGVGmZFj0U",❤ 🥺,,4,18,['https://pbs.twimg.com/media/FVVN6yMXEAAB37K?format=jpg&name=small'],https://twitter.com/_Uaiti/status/1537220523494498304
pj.toms,@pj_toms,2022-06-15T23:07:11.000Z,"pj.toms
@pj_toms
·
Jun 15, 2022","Wednesday WOD  Get some 
#crossfit #bodyarmorcrossfit #sanantonio #Downtown #Texas @ Body Armor Crossfit https://instagram.com/p/Ce2AGD0s1VL/?igshid=YTgzYjQ4ZTY=…",,,,1,[],https://twitter.com/pj_toms/status/1537210137861144576
Dakarai M-Box,@BoxDakarai,2022-06-15T23:10:21.000Z,"Dakarai M-Box
@BoxDakarai
·
Jun 15, 2022",CrossFit ain’t no joke,‼ 😤,,,,[],https://twitter.com/BoxDakarai/status/1537210935366017024
CrossFit BC,@CrossFitBC,2022-06-15T23:12:23.000Z,"CrossFit BC
@CrossFitBC
·
Jun 15, 2022",Just posted a photo @ CrossFit BC https://instagram.com/p/Ce2AsM8voZ2/?igshid=YTgzYjQ4ZTY=…,,,,,[],https://twitter.com/CrossFitBC/status/1537211445443690496
FitFam Tweets,@FitFamTweets,2022-06-15T23:40:08.000Z,"FitFam Tweets
@FitFamTweets
·
Jun 15, 2022","TOP CALORIE BURNERS - #Sprints, #Jumproping, #MMA, #Boxing, #Cycling #CircuitTraining #CrossFit",,,,1,[],https://twitter.com/FitFamTweets/status/1537218429601869824
Alton Bertie,@AltonBertie,2022-06-15T23:00:11.000Z,"Alton Bertie
@AltonBertie
·
Jun 15, 2022",I must be a mad man. Throw down a run before a CrossFit class. Who does that?,,,,,[],https://twitter.com/AltonBertie/status/1537208377931182080
Vino,@Vinociosss,2022-06-15T23:10:28.000Z,"Vino
@Vinociosss
·
Jun 15, 2022",Eu comecei a tomar creatina faz pouco tempo né e ainda fico bobo como é nítido o ganho de energia eu praticamente dobrei o treino e ainda sinto q mamaria 100 homens numa guerra de boa,,5,,44,[],https://twitter.com/Vinociosss/status/1537210962620596225
MetConTalk,@MetConTalk,2022-06-15T22:56:50.000Z,"MetConTalk
@MetConTalk
·
Jun 15, 2022","Sergeant Mac's Story: Better Leader, Better Life With CrossFit https://youtube.com/watch?v=M0XoW604ePc… #crossfit",,,,,['https://pbs.twimg.com/card_img/1662209036702580736/GB9vStY7?format=jpg&name=240x240'],https://twitter.com/MetConTalk/status/1537207531428249601
Wicked Gyal Era,@Empress_Marsz,2022-06-15T22:50:23.000Z,"Wicked Gyal Era
@Empress_Marsz
·
Jun 15, 2022",Me wah know whey di bloodclaat old foot Biden ah find 1 Billion to send to Ukraine when the USA is SUFFERING?? Is this man blind or what??,💋,,,1,[],https://twitter.com/Empress_Marsz/status/1537205911554560002
Carbonwolf Energy,@C6WolfEnergy,2022-06-15T21:04:43.000Z,"Carbonwolf Energy
@C6WolfEnergy
·
Jun 15, 2022","#Top10 #SuccessQuotes from #TiaClairToomey #CrossFit Champion & GOAT about Putting in the Work
 #champion #GOAT #legend #athlete #topten #quotes  #howto #quoteoftheday #motivationquotes #successful #mentality #successfuldailyhabits",,,,2,[],https://twitter.com/C6WolfEnergy/status/1537179318865973250
Alton Bertie,@AltonBertie,2022-06-15T22:59:54.000Z,"Alton Bertie
@AltonBertie
·
Jun 15, 2022",Today’s run before CrossFit,,,,,['https://pbs.twimg.com/media/FVVCzlGXEAA_aSX?format=jpg&name=small'],https://twitter.com/AltonBertie/status/1537208306456047617
Alton Bertie,@AltonBertie,2022-06-15T23:01:03.000Z,"Alton Bertie
@AltonBertie
·
Jun 15, 2022",3 different work outs for CrossFit today,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1537208551638192128/pu/img/2DYWCSlr5FJfb0kF.jpg'],https://twitter.com/AltonBertie/status/1537208595544256512
"Taylor Manson, OLY",@TaylorManson4,2022-06-15T21:02:32.000Z,"Taylor Manson, OLY
@TaylorManson4
·
Jun 15, 2022",Vegan protein powder >>>> whey protein powder,,2,1,6,[],https://twitter.com/TaylorManson4/status/1537178769282453504
TRIFECTA,@TrifectaSystem,2022-06-15T21:01:23.000Z,"TRIFECTA
@TrifectaSystem
·
Jun 15, 2022","T-Minus 50 days until the 2022 NOBULL #CrossFit Games.⁠
⁠
#Mindset is half the journey. Don't complain about the hard work and the pressure; embrace it just as Noah Ohlsen does. ⁠
⁠
: @bksports_photography",📸,,,6,['https://pbs.twimg.com/media/FVUnjpkWUAEfhS9?format=jpg&name=small'],https://twitter.com/TrifectaSystem/status/1537178480781455360
Eduardo Affonso,@eduaffonsoespn,2022-06-15T21:17:00.000Z,"Eduardo Affonso
@eduaffonsoespn
·
Jun 15, 2022","Andrés Colorado se queixou de dores na coxa antes do treino,foi submetido a exame de imagem q diagnosticou uma outra lesão no reto femoral direito, a mesma coxa que havia lesionado anteriormente, mas em outro local do grupo muscular. #SPFC #ESPN",,50,43,456,[],https://twitter.com/eduaffonsoespn/status/1537182408541409280
Guarani Futebol Clube,@guaranifc,2022-06-15T21:54:36.000Z,"Guarani Futebol Clube
@guaranifc
·
Jun 15, 2022","O treino do Bugre nesta quarta-feira pelas lentes da TV GFC! 

#AvantemeuBugre ",🎥 💚,,1,35,[],https://twitter.com/guaranifc/status/1537191873000968195
BandSports,@bandsports,2022-06-15T22:01:37.000Z,"BandSports
@bandsports
·
Jun 15, 2022","RACE WEEK DE NOVO! Neste fim de semana tem mais uma etapa do Mundial de Fórmula 1, com o GP do Canadá e você não perde nada aqui na tela do BandSports. A partir desta sexta, às 14h50, já tem treino livre 1 ao vivo! Pra quem vai a sua torcida? 

#F1noBandSports #F1 #Formula1",🔥,9,24,144,['https://pbs.twimg.com/media/FVU1d4lWUAQ2981?format=jpg&name=small'],https://twitter.com/bandsports/status/1537193637825720325
eV WOLFz,@WOLFz_R6,2022-06-15T23:46:37.000Z,"eV WOLFz
@WOLFz_R6
·
Jun 15, 2022","Treino amanha as 14h, chama dm

Rt apreciado",,,6,8,[],https://twitter.com/WOLFz_R6/status/1537220060711776257
Bernardo Alejandro,@BernardoAGuerra,2022-06-15T20:44:25.000Z,"Bernardo Alejandro
@BernardoAGuerra
·
Jun 15, 2022","¿Qué tal la sopa de la dieta hospitalaria 
@HGMhospital
 con gusano  incluido. Ahora dirá el Gerente Mario Fernando Cordoba a los medios de comunicación que es “proteina” extra, suministrada por su contratista:Ser Colombia. 
@ifmnoticias
 @TodosXMedellin
 @elcolombiano
 @Supersalud
?",🐛,15,119,123,['https://pbs.twimg.com/media/FVUjyezXsAE44xT?format=jpg&name=small'],https://twitter.com/BernardoAGuerra/status/1537174210019217409
Basquetebol FPB,@fpbasquetebol,2022-06-15T21:08:45.000Z,"Basquetebol FPB
@fpbasquetebol
·
Jun 15, 2022"," Portugal  68-49  Finlândia
 𝐒𝐞𝐥𝐞𝐜̧𝐚̃𝐨 𝐍𝐚𝐜𝐢𝐨𝐧𝐚𝐥 𝐟𝐞𝐦𝐢𝐧𝐢𝐧𝐚 𝐮𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐭𝐚́𝐫𝐢𝐚 (jogo de treino)
 Pav. M. Stª Maria Maior
 
@mariana04silva
 (15pts, 5res, 3rb)
 https://bit.ly/3NZpuu4

#SomosBasquetebol",🏀 🏆 📍 ⭐ 📊,,4,23,"['https://pbs.twimg.com/media/FVUo_f3WIAIYPbs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FVUpCBoX0AAHFJ5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FVUpGHeXoAMhFXp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FVUpVz2XwAI2ks5?format=jpg&name=360x360']",https://twitter.com/fpbasquetebol/status/1537180331819810819
Tiago Caldas,@TiagoCaldas,2022-06-15T23:15:56.000Z,"Tiago Caldas
@TiagoCaldas
·
Jun 15, 2022","Saindo do treino do 
@nauticope
 hj nos Aflitos, as crianças que jogam no futsal do timba estavam gritando meu nome e falando que gostam das minhas fotos. Isso é gratificante demais véi. ",😍 🥺,12,,269,[],https://twitter.com/TiagoCaldas/status/1537212340105519104
Grit Grind Hustle,@gritgrindhustle,2022-06-15T22:00:09.000Z,"Grit Grind Hustle
@gritgrindhustle
·
Jun 15, 2022","Congrats to the team winners of the 
@atlasgames
.ca who punched their tickets to 
@CrossFitGames
 -- 1st place CrossFit Omnia Black, 2nd place CrossFit Pro1 Montreal, 3rd place CrossFit Taranis Lifetree, 4th place CrossFit Milford Team Conquer & 5th place CrossFit East Woodbridge!",,,,3,['https://pbs.twimg.com/media/FVU1IeQUYAAEw0v?format=jpg&name=small'],https://twitter.com/gritgrindhustle/status/1537193268944916480
Houston Chronicle,@HoustonChron,2022-06-15T23:03:41.000Z,"Houston Chronicle
@HoustonChron
·
Jun 15, 2022",ER doctor and patient have something in common: Crossfit,,,,1,[],https://twitter.com/HoustonChron/status/1537209259083108354
CEALCO,@CealcoOficial,2022-06-15T21:47:56.000Z,"CEALCO
@CealcoOficial
·
Jun 15, 2022","#15Jun || Desde 
@CealcoOficial
 realizamos almacenaje a temperaturas controladas y actividades de despacho de proteína animal; comprometidos con las políticas alimentarias impulsadas por el Gobierno Bolivariano en beneficio del pueblo venezolano.
#LaVozDeVenezuelaEnQatar",,,14,15,['https://pbs.twimg.com/media/FVUyP4zWYAckDzm?format=jpg&name=small'],https://twitter.com/CealcoOficial/status/1537190193496829955
root beer,@harms_whey,2022-06-16T22:25:17.000Z,"root beer
@harms_whey
·
Jun 16, 2022",crooked glasses,,1,1,4,"['https://pbs.twimg.com/media/FVaEd_HVUAAE32D?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FVaEd_KUUAAtaWA?format=jpg&name=360x360']",https://twitter.com/harms_whey/status/1537561980810055681
ELY G,@elitaque,2022-06-16T22:43:30.000Z,"ELY G
@elitaque
·
Jun 16, 2022","Now, the question is… Do I go to CrossFit today???!!!! ",🫠,1,,1,[],https://twitter.com/elitaque/status/1537566565708840962
Michael Creel,@MichaelCreel,2022-06-16T18:57:52.000Z,"Michael Creel
@MichaelCreel
·
Jun 16, 2022","There better be a #January6thCommitteeHearings meeting that is just a video montage of everyone in the admin being asked why whey said one thing in public about the insurrection, but are now saying the exact opposite thing when they're under oath",,,,,[],https://twitter.com/MichaelCreel/status/1537509781040242688
琴子 bot,@kotoquo_tebot,2022-06-16T18:50:23.000Z,"琴子 bot
@kotoquo_tebot
·
Jun 16, 2022
Automated",...It's whey protein. It's not especially delicious. I requested the Warden to get it for me.,,,,,[],https://twitter.com/kotoquo_tebot/status/1537507899739557888
Brittany Zucker,@brittanyzucker,2022-06-16T22:58:18.000Z,"Brittany Zucker
@brittanyzucker
·
Jun 16, 2022","ER doctor and patient have something in common: Crossfit https://houstonchronicle.com/lifestyle/renew-houston/fitness/article/ER-doctor-and-patient-have-something-in-common-17244650.php?utm_campaign=CMS%20Sharing%20Tools%20(Premium)&utm_source=t.co&utm_medium=referral… via 
@houstonchron",,,,,['https://pbs.twimg.com/card_img/1670806173241466880/KuY-Az2n?format=jpg&name=small'],https://twitter.com/brittanyzucker/status/1537570290791858184
Jo Minish-Pron,@JoMini_MD,2022-06-16T22:44:10.000Z,"Jo Minish-Pron
@JoMini_MD
·
Jun 16, 2022",I am deceased #crossfit,,,,4,['https://pbs.twimg.com/media/FVaIyxaWIAIFp2v?format=jpg&name=900x900'],https://twitter.com/JoMini_MD/status/1537566731891265537
SuccessfulDailyHabits.com,@SDH_online,2022-06-16T19:39:00.000Z,"SuccessfulDailyHabits.com
@SDH_online
·
Jun 16, 2022","Tia-Clair Toomey-Orr CrossFit Legend, Champion and GOAT
https://youtube.com/watch?v=v7q65Esi_II…

#crossfit #champion #tiaclairtoomey #GOAT #rogue #legend #athlete #success",,,1,2,['https://pbs.twimg.com/media/FVZeOJ2UAAAQMlH?format=jpg&name=small'],https://twitter.com/SDH_online/status/1537520135837061121
maria b,@mmamacitaaaa,2022-06-16T22:03:54.000Z,"maria b
@mmamacitaaaa
·
Jun 16, 2022","1 day off in the CrossFit dimension is like a week, I swear",,,,1,[],https://twitter.com/mmamacitaaaa/status/1537556598557638670
On PointE Coaching & PT,@onpointecoach,2022-06-16T20:24:23.000Z,"On PointE Coaching & PT
@onpointecoach
·
Jun 16, 2022","end game  prep & drills 
…
 step by step you’ll get there
…
#coach #personaltrainer #fitness #gym #olympiclifting #weightlifting #crossfit #glasgowfitness #gayglasgow #gayfitness #aesthetics #physique",⬅ 🧱 👣,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1537531452891488256/pu/img/ri4fqVIw9r_fGg6P.jpg'],https://twitter.com/onpointecoach/status/1537531554892861442
PersonalFitness3,@personalfitnes3,2022-06-16T18:38:18.000Z,"PersonalFitness3
@personalfitnes3
·
Jun 16, 2022","#videos2watchNOW
LeanPro Whey #Protein Supplement Review | First Impressions | LABRADA Nutrition

Watch the video:
https://youtu.be/8xDUdbC43jk
LIKE  SHARE  COMMENT",▪ ▪,,,,['https://pbs.twimg.com/media/FVZQhdcXsAAFtWU?format=jpg&name=small'],https://twitter.com/personalfitnes3/status/1537504860219879426
Blacky Λceituno,@acceituno_,2022-06-16T22:04:53.000Z,"Blacky Λceituno
@acceituno_
·
Jun 16, 2022","Me cambio a Smartfit o sigo haciendo ""Crossfit"" ?",,2,,4,[],https://twitter.com/acceituno_/status/1537556847548317696
PersonalFitness3,@personalfitnes3,2022-06-16T23:08:21.000Z,"PersonalFitness3
@personalfitnes3
·
Jun 16, 2022","Hydrolyzed Whey Protein Supplements

Watch the video:
https://youtu.be/qrutkNYNxQk?list=PLRaNGf3511gMhJKt3zEFn9c6kQdqP2nl8…
LIKE  SHARE  COMMENT",▪ ▪,,,,['https://pbs.twimg.com/media/FVaOVHfWQAIp51t?format=jpg&name=small'],https://twitter.com/personalfitnes3/status/1537572819420295168
carly,@z01dyck,2022-06-16T18:14:09.000Z,"carly
@z01dyck
·
Jun 16, 2022",ate jalapeno chips i got for free at work even though they had whey in the ingredients list they always get me,,2,,7,[],https://twitter.com/z01dyck/status/1537498779779219458
El Ice Q,@IceTucompa,2022-06-16T20:00:03.000Z,"El Ice Q
@IceTucompa
·
Jun 16, 2022","Shoutout to the guy at the gym that barks before doing a rep of crossfit, hope he's having a good day",🧊,,,1,[],https://twitter.com/IceTucompa/status/1537525431812952067
It’s Nat,@MissNatalieSays,2022-06-16T18:50:20.000Z,"It’s Nat
@MissNatalieSays
·
Jun 16, 2022",It’s very muggy. It’s like a statement saying “you’re a prick” and I’m not gonna let the weather take me for a prick no whey.,,,,2,[],https://twitter.com/MissNatalieSays/status/1537507886372470791
click2fitness,@click2fitness1,2022-06-16T20:31:29.000Z,"click2fitness
@click2fitness1
·
Jun 16, 2022",#like #follow #crossfit Ultralight Bicycle Backpack 15L https://click4fitness.net/ultralight-bicycle-backpack-15l/…,,,,1,['https://pbs.twimg.com/media/FVZqbcXWYAAZDnJ?format=jpg&name=small'],https://twitter.com/click2fitness1/status/1537533344262590471
Numero Uno,@Ayokunnu_,2022-06-16T19:16:56.000Z,"Numero Uno
@Ayokunnu_
·
Jun 16, 2022",My sister y'all.... Na person whey dey cook for me be this ,😭 😭 😂 😊 🍭 💫 ✨ 🌹 ✨,12,3,11,"['https://pbs.twimg.com/profile_images/1591447548182552578/UhhhIxYE_mini.jpg', 'https://pbs.twimg.com/media/FVZXzL7WQAMLCWO?format=jpg&name=small', 'https://pbs.twimg.com/media/FVZXzL_WUAES5qb?format=jpg&name=small', 'https://pbs.twimg.com/media/FVZXzL_WYAIBtSw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FVZXzL_XoAQL1ya?format=jpg&name=360x360']",https://twitter.com/Ayokunnu_/status/1537514583145037826
Tim Murphy,@renegadedad,2022-06-16T22:24:54.000Z,"Tim Murphy
@renegadedad
·
Jun 16, 2022","What Is The Best Whey Protein? Top 6 Criteria To Use 
Finding the best whey protein really comes down to your own",,,,,['https://pbs.twimg.com/card_img/1669019033252024320/pFZKNRl7?format=jpg&name=240x240'],https://twitter.com/renegadedad/status/1537561886639542272
Fittest Travel,@fittesttravel,2022-06-16T18:46:03.000Z,"Fittest Travel
@fittesttravel
·
Jun 16, 2022",10 CrossFit Kettlebell and Bodyweight Workouts http://dlvr.it/SSK5QB,,,,1,['https://pbs.twimg.com/media/FVZSS4CUUAI2buH?format=jpg&name=small'],https://twitter.com/fittesttravel/status/1537506810206138368
LDK,@lukedk365,2022-06-16T20:09:04.000Z,"LDK
@lukedk365
·
Jun 16, 2022","Rocking the 
@DownloadFest
 @IronMaiden
 shirt today. Working on split jerk barbell complex #crossfit",,1,,4,['https://pbs.twimg.com/ext_tw_video_thumb/1537527644572499968/pu/img/KtDvw6nvs5fAS5Ai.jpg'],https://twitter.com/lukedk365/status/1537527702340739073
AJ ♡ over-exercising era,@deletethecals,2022-06-16T21:38:14.000Z,"AJ ♡ over-exercising era
@deletethecals
·
Jun 16, 2022",all fibre and whey protein does is bloat me to the point i look pregnant and give me gas i cannot,,,,,[],https://twitter.com/deletethecals/status/1537550141665820682
EST Dugg,@Official_EmmyK,2022-06-16T19:01:05.000Z,"EST Dugg
@Official_EmmyK
·
Jun 16, 2022",Brokely dey carry us go whey we no know,,,,1,['https://pbs.twimg.com/media/FVZVu9AWQAIFTd4?format=jpg&name=small'],https://twitter.com/Official_EmmyK/status/1537510593736892417
CrossFit BC,@CrossFitBC,2022-06-16T19:33:23.000Z,"CrossFit BC
@CrossFitBC
·
Jun 16, 2022","Some more pound pads, please!

#CrossFitBC 
@bellsofsteel
 #goggletanmax @ CrossFit BC",,,,,[],https://twitter.com/CrossFitBC/status/1537518722713325570
Ryan Barber ꘐ,@rfb,2022-06-16T19:27:24.000Z,"Ryan Barber ꘐ
@rfb
·
Jun 16, 2022","as if we didn't already have a million reasons to hate crossfit, now they've added one more:",,1,,2,[],https://twitter.com/rfb/status/1537517214969913344
iSAMIRAcle,@justSamli,2022-06-16T19:01:45.000Z,"iSAMIRAcle
@justSamli
·
Jun 16, 2022","When I started CrossFit, it was just to keep fit and get strong. But after seeing all those strong strong girls…competition has entered my insides",,1,,2,['https://pbs.twimg.com/tweet_video_thumb/FVZV4fRWIAcJ2N-.jpg'],https://twitter.com/justSamli/status/1537510759671992327
Ian James (Iggzy),@ianjames1307,2022-06-16T19:22:19.000Z,"Ian James (Iggzy)
@ianjames1307
·
Jun 16, 2022"," Leaderboard update  

I'm currently in 85th out of around 200. Doesn't seem massively impressive but I'm fucking made up with it. 

18months ago I was a fat trollop who got out of breath eating a biscuit and now I'm competing in a crossfit qualifier. 

 
@arnoldsportsuk",🔥 🔥,,,2,['https://pbs.twimg.com/media/FVZamFMWAAUD3BZ?format=jpg&name=small'],https://twitter.com/ianjames1307/status/1537515934977601536
Tom Dowd,@TomDowdPIN,2022-06-16T20:00:57.000Z,"Tom Dowd
@TomDowdPIN
·
Jun 16, 2022","You need an amazing #PWO - Done! 
                  
@PerformInspired
 
#Preworkout #workout #HIIT #gym #energy #FitnessMotivation #fitnessjourney #fitnessgirl #fitnessaddict #fitness #crossfit #F45 #peloton",💯,,3,2,[],https://twitter.com/TomDowdPIN/status/1537525657592283136
sid,@theesmaarkhan,2022-06-16T17:46:57.000Z,"sid
@theesmaarkhan
·
Jun 16, 2022",Soya milk with whey protein,,1,,,['https://pbs.twimg.com/media/FVZExIJVEAAXB1G?format=jpg&name=small'],https://twitter.com/theesmaarkhan/status/1537491936587550720
Fat Kid Deals,@FatKidDeals,2022-06-16T20:22:03.000Z,"Fat Kid Deals
@FatKidDeals
·
Jun 16, 2022","1.3lb Dymatize ISO100 Fruity Pebbles Whey Isolate Protein Powder, as low as $21.22! (Retail $40)

https://fkd.sale/?l=https://amzn.to/3mWuuUl…

MUST Select Sub and Save to get lowest price. Can cancel subscription after item ships!",,,1,11,['https://pbs.twimg.com/media/FVZoRApX0AErnTi?format=jpg&name=small'],https://twitter.com/FatKidDeals/status/1537530966889140227
Selina Paddison,@Selina_Paddison,2022-06-16T23:04:00.000Z,"Selina Paddison
@Selina_Paddison
·
Jun 16, 2022",The Top 30 Hottest CrossFit Girls of 2019,,,,3,[],https://twitter.com/Selina_Paddison/status/1537571723842756609
Alton Bertie,@AltonBertie,2022-06-16T19:16:04.000Z,"Alton Bertie
@AltonBertie
·
Jun 16, 2022",My CrossFit shoes have shipped! I’m excited! When u realize high performance running shoes aren’t good for the gym,,,,1,[],https://twitter.com/AltonBertie/status/1537514364563034112
